编号	化合物	一维保留时间(min)	二维保留时间(s)	峰面积	峰高	百分比%	半峰宽(ms)	CAS	化学式	正向匹配度	反向匹配度	可能性	RI	NIST RI	MW	重名
278		15.9213	1.052	2818.057	547247.851	0.209	77	0-0-0		0	0	0	1208		0	
281	Pentanoic acid, 2-methyl-, anhydride	15.8548	2.612	723.518	208396.212	0.054	150	63169-61-9	C12H22O3	807	825	15.08	1205	-	214	
282	Dodecane	16.0547	0.646	1285.096	394631.442	0.095	79	112-40-3	C12H26	846	858	3	1215	-	170	
285		16.1213	2.14	1521.749	165366.824	0.113	163	0-0-0		0	0	0	1220		0	
288		16.1881	1.751	3415.101	529919.142	0.253	135	0-0-0		0	0	0	1223		0	
291		16.2547	0.957	1108.739	331774.255	0.082	112	0-0-0		0	0	0	1226		0	
295	Dodecane, 4,6-dimethyl-	16.4549	0.636	3298.479	726501.786	0.245	95	61141-72-8	C14H30	863	872	13.88	1237	-	198	
296		16.3215	1.101	1767.039	240549.788	0.131	126	0-0-0		0	0	0	1230		0	
301		16.4549	1.349	738.818	258029.075	0.055	132	0-0-0		0	0	0	1238		0	
302	2H-Pyran-2-one, 5,6-dihydro-4,6,6-trimethyl-	16.5215	2.255	5358.14	814696.974	0.398	145	6970-56-5	C8H12O2	754	855	71.77	1242	-	140	
310		16.6549	1.849	1513.156	205923.813	0.112	-	0-0-0		0	0	0	1249		0	
309		16.7214	1.597	2020.811	287693.01	0.15	-	0-0-0		0	0	0	1253		0	
313		16.7214	0.652	3083.81	995453.091	0.229	101	0-0-0		0	0	0	1252		0	
311		16.6549	1.036	1162.887	240323.662	0.086	112	0-0-0		0	0	0	1248		0	
314		16.9213	1.428	7493.638	874466.257	0.556	176	0-0-0		0	0	0	1264		0	
318		16.9213	0.662	2267.116	420231.114	0.168	83	0-0-0		0	0	0	1263		0	
319	Nonanoic acid	16.9882	1.028	1928.531	139165.211	0.143	247	112-05-0	C9H18O2	724	859	54.72	1267	1273-S	158	
320		16.8548	1.891	1013.656	142968.25	0.075	-	0-0-0		0	0	0	1260		0	
323		16.9882	1.801	937.105	197850.098	0.07	166	0-0-0		0	0	0	1268		0	
327		17.1216	1.31	1788.982	319419.57	0.133	174	0-0-0		0	0	0	1275		0	
328	Phenol, 2,3,5-trimethyl-	17.1216	1.595	715.22	203427.992	0.053	182	697-82-5	C9H12O	696	743	6.5	1275	1276-S	136	
340	Phenol, p-tert-butyl-	17.5214	1.496	1196.637	290152.369	0.089	119	98-54-4	C10H14O	848	874	30.22	1297	1295-S	150	
341		17.6548	2.167	7519.822	1859590.876	0.558	190	0-0-0		0	0	0	1305		0	
343	2(3H)-Furanone, 5-butyldihydro-4-methyl-, cis-	17.5214	2.596	1137.545	370191.584	0.084	155	55013-32-6	C9H16O2	680	681	15.99	1298	-	156	
344		17.588	1.385	1799.292	319960.23	0.134	146	0-0-0		0	0	0	1301		0	
347		17.7214	1.047	502.491	202030.771	0.037	86	0-0-0		0	0	0	1308		0	
348		17.7214	1.619	1966.614	389179.557	0.146	134	0-0-0		0	0	0	1309		0	
357		17.9882	2.215	3749.926	742819.084	0.278	143	0-0-0		0	0	0	1325		0	
359		17.9213	1.073	822.354	237249.954	0.061	104	0-0-0		0	0	0	1320		0	
365		18.0547	1.569	1240.229	276604.09	0.092	161	0-0-0		0	0	0	1328		0	
367		18.1216	1.453	1358.795	219438.408	0.101	136	0-0-0		0	0	0	1332		0	
375	Decane, 3,7-dimethyl-	18.3215	0.649	5865.229	1809728.738	0.435	75	17312-54-8	C12H26	881	886	11.07	1342	-	170	
376		18.388	1.264	3658.121	1187755.328	0.271	111	0-0-0		0	0	0	1347		0	
378		18.4549	1.595	2336.69	650997.98	0.173	119	0-0-0		0	0	0	1351		0	
380	Decane, 2,3,5-trimethyl-	18.5214	0.65	3128.058	974010.306	0.232	70	62238-11-3	C13H28	860	879	3.94	1354	-	184	
383		18.5879	1.586	1873.355	287554.431	0.139	139	0-0-0		0	0	0	1359		0	
389		18.7882	0.667	2520.863	514647.821	0.187	69	0-0-0		0	0	0	1369		0	
393	Propanoic acid, 2-methyl-, 2-ethyl-3-hydroxyhexyl ester	18.9213	1.178	714.54	184924.016	0.053	103	74367-31-0	C12H24O3	741	801	36	1377	-	216	
399		19.1215	0.729	1910.871	486808.384	0.142	66	0-0-0		0	0	0	1389		0	
413		19.4549	1.01	2137.18	728163.635	0.159	70	0-0-0		0	0	0	1409		0	
414		19.4549	2.029	724.964	77556.124	0.054	165	0-0-0		0	0	0	1410		0	
415		19.4549	0.68	1158.86	280539.586	0.086	135	0-0-0		0	0	0	1409		0	
420		19.5883	1.712	449.16	111025.327	0.033	145	0-0-0		0	0	0	1419		0	
422	Hexadecane	19.5883	0.632	1458.174	243719.026	0.108	99	544-76-3	C16H34	843	851	3.55	1417	-	226	
433		19.7882	1.831	442.156	130476.147	0.033	117	0-0-0		0	0	0	1432		0	
438		20.1215	0.651	3540.749	536727.378	0.263	82	0-0-0		0	0	0	1452		0	
436		19.9881	1.312	865.649	119024.343	0.064	164	0-0-0		0	0	0	1444		0	
444		20.1215	1.197	568.017	76454.273	0.042	-	0-0-0		0	0	0	1453		0	
450	Hexadecane	20.2549	0.638	1814.825	555081.691	0.135	79	544-76-3	C16H34	850	855	3.99	1461	-	226	
457		20.388	0.663	2009.817	494675.422	0.149	102	0-0-0		0	0	0	1470		0	
459		20.4548	1.05	744.318	555293.703	0.055	-	0-0-0		0	0	0	1474		0	
460	2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-	20.4548	1.215	5819.697	1551101.699	0.432	118	719-22-2	C14H20O2	811	815	64.61	1474	-	220	
462		20.5882	0.632	1650.868	514667.187	0.123	93	0-0-0		0	0	0	1483		0	
465		20.7213	1.103	3502.259	1427133.658	0.26	98	0-0-0		0	0	0	1492		0	
473		20.8547	0.42	75.465	43107.849	0.006	-	0-0-0		0	0	0	1500		0	
474		20.9216	2.463	275.561	69768.697	0.02	145	0-0-0		0	0	0	1506		0	
476		20.9216	1.875	365.974	123437.758	0.027	136	0-0-0		0	0	0	1506		0	
477		21.0546	0.63	6910.619	1458502.762	0.513	71	0-0-0		0	0	0	1513		0	
480		21.0546	1.013	400.279	186153.551	0.03	92	0-0-0		0	0	0	1513		0	
481	Butylated Hydroxytoluene	21.1215	1.212	16318.147	1789535.788	1.211	183	128-37-0	C15H24O	870	874	74.67	1518	1513-S	220	
484		21.3214	0.624	4158.219	1106685.7	0.309	70	0-0-0		0	0	0	1530		0	
501		21.7882	0.637	2692.133	1117804.541	0.2	74	0-0-0		0	0	0	1561		0	
505		21.9881	0.634	2425.178	820666.876	0.18	66	0-0-0		0	0	0	1574		0	
508	Hexadecane	22.1215	0.632	2855.99	748547.185	0.212	65	544-76-3	C16H34	860	875	7.53	1583	1600-A	226	
514		22.3883	1.033	389.325	123977.216	0.029	123	0-0-0		0	0	0	1600		0	
520		22.7881	0.808	1732.431	229753.086	0.129	108	0-0-0		0	0	0	1629		0	
522	Benzene, (1-butylheptyl)-	22.9215	0.966	658.712	154159.282	0.049	89	4537-15-9	C17H28	816	883	67.61	1638	-	232	
524	Hexadecane	23.0549	0.66	1546.827	183790.53	0.115	87	544-76-3	C16H34	841	857	4.91	1648	-	226	
532	Docosyl octyl ether	23.3214	0.679	924.315	149481.714	0.069	217	0-0-0	C30H62O	764	803	4.19	1667	-	438	
534		23.4548	0.993	661.245	139223.74	0.049	108	0-0-0		0	0	0	1677		0	
546		23.9215	0.636	10935.041	2173600.13	0.811	96	0-0-0		0	0	0	1709		0	
552		24.188	1.608	551.453	188699.561	0.041	113	0-0-0		0	0	0	1730		0	
554	Benzene, (1-pentylheptyl)-	24.2548	0.966	616.414	111578.186	0.046	108	2719-62-2	C18H30	778	804	58.94	1734	1726-S	246	
558		24.5213	0.66	8608.246	1809015.07	0.639	85	0-0-0		0	0	0	1752		0	
560	3,5-di-tert-Butyl-4-hydroxybenzaldehyde	24.7881	1.612	589.481	192436.714	0.044	113	1620-98-0	C15H22O2	882	891	68.02	1772	-	234	
583		25.988	1.531	211.662	87177.797	0.016	111	0-0-0		0	0	0	1864		0	
584		26.1214	1.671	415.283	51664.259	0.031	215	0-0-0		0	0	0	1875		0	
591	Eicosane, 2-methyl-	26.788	0.658	4906.257	1313962.418	0.364	85	1560-84-5	C21H44	835	840	6.4	1926	-	296	
592	7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione	26.788	1.618	2706.478	804739.346	0.201	132	82304-66-3	C17H24O3	837	839	87.8	1927	1923-S	276	
596		27.2548	0.682	2395.583	326904.34	0.178	116	0-0-0		0	0	0	1963		0	
601		27.8549	0.674	90.563	16928.756	0.007	150	0-0-0		0	0	0	2012		0	
602		27.9879	1.911	74.055	19648.609	0.005	175	0-0-0		0	0	0	2025		0	
603		29.3216	0.676	600.01	122274.063	0.045	221	0-0-0		0	0	0	2141		0	

