编号	化合物	一维保留时间(min)	二维保留时间(s)	峰面积	峰高	百分比%	半峰宽(ms)	CAS	化学式	正向匹配度	反向匹配度	可能性	RI	NIST RI	MW	重名
33		3.8548	1.03	28333.323	257079.353	2.103	363	0-0-0		0	0	0	-		0	
74	2-Pentanol, 2,4-dimethyl-	7.4548	1.821	6978.386	177012.082	0.518	371	625-06-9	C7H16O	812	834	22.25	846	-	116	
76		8.0549	0.746	28231.076	1346911.49	2.095	187	0-0-0		0	0	0	866		0	
79	o-Xylene	8.188	1.413	7564.583	269002.694	0.561	218	95-47-6	C8H10	873	946	39.49	871	888-S	106	
90	1-Butanol, 3-methoxy-, acetate	9.188	1.778	6729.549	227667.016	0.499	269	4435-53-4	C7H14O3	731	829	23.57	906	914-S	146	
93		8.988	1.092	3468.742	231734.519	0.257	-	0-0-0		0	0	0	898		0	
95		9.3214	0.97	20591.216	1153135.155	1.528	221	0-0-0		0	0	0	911		0	
97		9.4548	2.19	2713.325	149573.606	0.201	213	0-0-0		0	0	0	917		0	
105		9.8546	2.321	3988.308	261304.667	0.296	180	0-0-0		0	0	0	933		0	
110	2-Heptanone, 4-methyl-	10.1214	1.191	7691.621	637943.78	0.571	167	6137-06-0	C8H16O	837	889	91.41	942	-	128	
119		10.6547	0.722	6477.285	608400.192	0.481	194	0-0-0		0	0	0	963		0	
125	Benzene, 1-ethyl-3-methyl-	10.8549	1.254	31786.265	1739077.237	2.359	263	620-14-4	C9H12	664	773	18.62	971	-	120	
130	Undecane	10.988	0.677	2564.53	348567.116	0.19	130	1120-21-4	C11H24	822	871	6.91	976	-	156	
131		11.1883	0.84	4415.379	282013.602	0.328	-	0-0-0		0	0	0	984		0	
132		11.1883	1.427	46831.606	4127928.222	3.475	192	0-0-0		0	0	0	985		0	
134	3-Pentenoic acid, 4-methyl-	11.2548	2.248	2955.566	228579.385	0.219	-	504-85-8	C6H10O2	727	798	31.83	988	-	114	
136	2-Heptanone, 4,6-dimethyl-	11.3882	1.092	8959.201	911176.947	0.665	-	19549-80-5	C9H18O	806	854	70.11	992	-	142	
138	Pyridine, 2,4,6-trimethyl-	11.3882	1.465	10641.634	1144109.323	0.79	171	108-75-8	C8H11N	864	875	40.2	993	991-S	121	
144		11.7215	1.73	7154.759	440219.966	0.531	158	0-0-0		0	0	0	1007		0	
145	2-Furanone, 2,5-dihydro-3,5-dimethyl	11.6546	2.247	2283.384	247500.163	0.169	161	0-0-0	C6H8O2	806	817	54.92	1004	-	112	
146		11.7215	0.882	844.723	210948.106	0.063	-	0-0-0		0	0	0	1006		0	
148	Octane, 2,3,7-trimethyl-	11.9214	0.665	13174.8	1849835.423	0.978	107	62016-34-6	C11H24	855	860	6.13	1015	-	156	
151	1,3-Pentanediol, 2-methyl-	11.9214	1.057	6914.114	605852.546	0.513	214	149-31-5	C6H14O2	643	690	25.56	1015	-	118	
152		11.8549	1.302	941.366	327757.317	0.07	-	0-0-0		0	0	0	1013		0	
153		11.988	1.868	3687.994	373598.339	0.274	168	0-0-0		0	0	0	1019		0	
157		12.1214	0.685	3198.259	666427.778	0.237	141	0-0-0		0	0	0	1024		0	
158	1-Hexanol, 2-ethyl-	12.2548	1.039	10115.436	1102299.285	0.751	126	104-76-7	C8H18O	708	820	5.14	1031	1030-S	130	
162		12.3882	0.735	2414.297	506108.036	0.179	115	0-0-0		0	0	0	1036		0	
163		12.5216	1.425	12132.996	803734.614	0.9	225	0-0-0		0	0	0	1043		0	
168	Undecane	12.9214	0.658	55122.249	3509440.668	4.09	206	1120-21-4	C11H24	797	798	3.74	1061	-	156	
169	Methacrylic anhydride	12.6546	2.874	940.665	127198.031	0.07	149	760-93-0	C8H10O3	872	901	15.92	1050	-	154	
172	4-Hexen-3-ol, 2,5-dimethyl-	12.788	1.385	4388.178	422979.801	0.326	192	60703-31-3	C8H16O	708	787	27.51	1055	-	128	
174	Pentanal, 5-[(tetrahydro-2H-pyran-2-yl)oxy]-	12.8549	1.913	14567.014	1534645.354	1.081	212	14194-86-6	C10H18O3	653	680	17.69	1059	-	186	
177		12.8549	2.311	268.271	72859.761	0.02	-	0-0-0		0	0	0	1059		0	
179	2,5-Hexanediol, 2,5-dimethyl-	12.9214	1.36	2514.82	497409.235	0.187	159	110-03-2	C8H18O2	800	929	80.2	1061	1059-S	146	
182		12.9879	1.614	1239.723	238478.112	0.092	174	0-0-0		0	0	0	1064		0	
186		13.3881	0.697	19461.62	3201942.221	1.444	118	0-0-0		0	0	0	1082		0	
187	1-Nonene	13.1882	1.045	796.791	192155.694	0.059	118	124-11-8	C9H18	811	836	5.79	1073	-	126	
189		13.2547	1.369	5357.168	710306.601	0.398	173	0-0-0		0	0	0	1076		0	
188	Tetrahydrofuran, 2-methyl-5-pentyl-	13.3881	1.728	13758.615	1304931.14	1.021	158	0-0-0	C10H20O	672	719	17.08	1083	-	156	
193		13.5881	1.385	4260.28	455303.957	0.316	172	0-0-0		0	0	0	1091		0	
202		13.6549	1.529	6050.404	1120366.423	0.449	140	0-0-0		0	0	0	1095		0	
203		13.7215	1.997	1068.095	154208.739	0.079	167	0-0-0		0	0	0	1098		0	
206	Nonanal	13.9214	1.094	6053.356	2026855.172	0.449	87	124-19-6	C9H18O	857	859	45.09	1107	1104-S	142	
207		13.9214	1.771	4207.997	563763.92	0.312	146	0-0-0		0	0	0	1108		0	
208		13.8549	0.647	14820.188	3043571.102	1.1	159	0-0-0		0	0	0	1103		0	
209		13.9214	1.302	2341.473	363733.129	0.174	-	0-0-0		0	0	0	1107		0	
210	Dodecane	13.9883	0.641	7954.09	2769814.001	0.59	119	112-40-3	C12H26	840	840	5.42	1110	-	170	
211		14.1213	2.316	485.312	61251.088	0.036	203	0-0-0		0	0	0	1118		0	
213		14.1213	1.242	4437.387	881654.579	0.329	182	0-0-0		0	0	0	1117		0	
214		14.0548	1.755	1937.083	511792.314	0.144	155	0-0-0		0	0	0	1114		0	
215		14.1213	2.929	1994.382	389552.903	0.148	177	0-0-0		0	0	0	1119		0	
217	1,4-Benzenediol, 2,6-dimethyl-	14.1213	1.954	758.133	236917.059	0.056	-	654-42-2	C8H10O2	822	868	35.07	1118	-	138	
219		14.3216	1.507	4244.83	499899.165	0.315	174	0-0-0		0	0	0	1127		0	
220		14.1882	1.723	767.458	185287.103	0.057	-	0-0-0		0	0	0	1121		0	
221		14.2547	1.278	1007.69	266773.718	0.075	148	0-0-0		0	0	0	1124		0	
224		14.3881	0.672	1797.124	482219.782	0.133	90	0-0-0		0	0	0	1130		0	
226	4-Piperidinol, 2,2,6,6-tetramethyl-	14.788	1.3	15109.968	1357700.462	1.121	146	2403-88-5	C9H19NO	861	869	83.56	1151	-	157	
231		14.588	0.957	1515.595	180726.881	0.112	194	0-0-0		0	0	0	1140		0	
230		14.5215	0.669	1446.776	515786.435	0.107	85	0-0-0		0	0	0	1137		0	
235		14.7214	2.433	857.83	100254.383	0.064	158	0-0-0		0	0	0	1148		0	
240		14.8548	0.986	2866.834	476603.824	0.213	158	0-0-0		0	0	0	1154		0	
243		14.9214	0.481	3083.755	837239.004	0.229	253	0-0-0		0	0	0	1156		0	
248		15.0548	0.984	744.957	200425.666	0.055	144	0-0-0		0	0	0	1164		0	
245	Phenol, 3,5-dimethyl-	15.1882	1.553	15643.434	3037676.124	1.161	155	108-68-9	C8H10O	874	875	20.61	1171	1171-S	122	
254		15.1882	0.672	1504.609	306031.358	0.112	69	0-0-0		0	0	0	1170		0	
258		15.4546	0.987	2630.373	347689.294	0.195	102	0-0-0		0	0	0	1184		0	
264	4-Dodecene	15.588	0.736	3621.424	1331238.409	0.269	64	2030-84-4	C12H24	868	869	3.81	1190	-	168	
265	Naphthalene	15.5215	1.807	3754.009	588014.426	0.279	139	91-20-3	C10H8	651	716	12.55	1188	1182-S	128	
272		15.7214	1.577	1376.364	339671.428	0.102	134	0-0-0		0	0	0	1197		0	
276		15.8548	1.587	2005.883	268900.189	0.149	134	0-0-0		0	0	0	1205		0	
