编号	化合物	一维保留时间(min)	二维保留时间(s)	峰面积	峰高	百分比%	半峰宽(ms)	CAS	化学式	正向匹配度	反向匹配度	可能性	RI	NIST RI	MW	重名
7		2.3825	0.693	4386.262	90436.246	0.662	144	0-0-0		0	0	0	-		0	
51		3.3825	0.701	3612.658	107394.522	0.546	262	0-0-0		0	0	0	-		0	
103		6.7826	1.079	99911.721	1731184.421	15.089	336	0-0-0		0	0	0	823		0	
129		8.0494	1.082	25156.931	1227494.272	3.799	187	0-0-0		0	0	0	866		0	
128	o-Xylene	8.1825	1.756	3464.87	128278.395	0.523	189	95-47-6	C8H10	902	935	53.36	871	888-S	106	
141		9.1159	2.174	4410.069	231525.808	0.666	225	0-0-0		0	0	0	903		0	
142		9.3158	1.302	1285.196	104177.57	0.194	-	0-0-0		0	0	0	911		0	
160		10.716	1.026	1838.194	172724.506	0.278	138	0-0-0		0	0	0	966		0	
166		10.8494	1.689	16581.292	1022361.471	2.504	211	0-0-0		0	0	0	971		0	
172	Tridecane	10.9825	1.012	1940.637	302227.425	0.293	122	629-50-5	C13H28	841	868	6.56	976	-	184	
176		11.1827	1.115	2180.97	163578.518	0.329	215	0-0-0		0	0	0	984		0	
180		11.1827	1.774	21301.762	2022379.327	3.217	186	0-0-0		0	0	0	985		0	
190		11.9159	1.987	6538.768	213419.885	0.988	142	0-0-0		0	0	0	1016		0	
188		11.6491	1.071	2763.022	561741.792	0.417	-	0-0-0		0	0	0	1003		0	
192	Pyridine, 2,4,6-trimethyl-	11.4492	1.807	1254.431	135763.361	0.189	-	108-75-8	C8H11N	851	869	54.91	995	991-S	121	
195	Butanoic acid, butyl ester	11.5161	1.408	1222.655	303752.871	0.185	114	109-21-7	C8H16O2	820	885	62.04	998	995-S	144	
200		11.6491	1.533	1739.915	148955.453	0.263	182	0-0-0		0	0	0	1003		0	
203		11.716	1.239	500.27	223504.635	0.076	-	0-0-0		0	0	0	1006		0	
205		11.9159	1.384	4441.989	547605.492	0.671	170	0-0-0		0	0	0	1015		0	
208	1-Octanol, 2-butyl-	12.1158	1.029	1677.27	464341.649	0.253	140	3913-02-8	C12H26O	778	785	4.04	1024	-	186	
210		12.2492	1.369	2892.156	378438.645	0.437	120	0-0-0		0	0	0	1031		0	
213		12.3826	1.065	2320.327	284663.758	0.35	127	0-0-0		0	0	0	1036		0	
216	Tridecane	12.9159	0.974	44717.594	2752336.093	6.754	212	629-50-5	C13H28	829	833	8.32	1061	-	184	
221	2,5-Hexanediol, 2,5-dimethyl-	12.9159	1.69	2137.996	369351.862	0.323	141	110-03-2	C8H18O2	879	918	83.18	1061	1059-S	146	
222		12.8494	2.259	833.817	82718.111	0.126	184	0-0-0		0	0	0	1059		0	
228	Phenacyl thiocyanate	13.1158	2.265	618.913	154241.714	0.093	122	5399-30-4	C9H7NOS	900	908	7.84	1071	-	177	
230		13.3826	1.034	10423.432	2055740.991	1.574	102	0-0-0		0	0	0	1082		0	
232		13.3826	2.058	846.763	150918.734	0.128	137	0-0-0		0	0	0	1083		0	
238	Benzenemethanol, α,α-dimethyl-	13.516	1.963	467.549	127278.307	0.071	125	617-94-7	C9H12O	789	812	8.77	1089	1090-S	136	
241		13.7159	0.997	9651.374	2137356.685	1.458	112	0-0-0		0	0	0	1097		0	
242		13.6491	1.888	453.112	98093.92	0.068	121	0-0-0		0	0	0	1095		0	
246		13.8493	0.985	18892.829	2439434.593	2.853	166	0-0-0		0	0	0	1103		0	
247	Nonanal	13.9159	1.431	2911.833	1101011.673	0.44	85	124-19-6	C9H18O	857	860	45.96	1107	1104-S	142	
250		13.9159	2.108	427.064	65432.357	0.064	133	0-0-0		0	0	0	1108		0	
254		14.1158	0.997	4762.007	1900036.749	0.719	98	0-0-0		0	0	0	1117		0	
257	1,4-Benzenediol, 2,6-dimethyl-	14.1158	2.284	210.796	39252.138	0.032	140	654-42-2	C8H10O2	817	860	52.08	1118	-	138	
264	1-Octanol, 2-butyl-	14.516	1.004	1648.372	199029.084	0.249	86	3913-02-8	C12H26O	791	820	4.63	1137	-	186	
273	4-Piperidinol, 2,2,6,6-tetramethyl-	14.7824	1.635	3020.016	487986.758	0.456	132	2403-88-5	C9H19NO	855	855	85.31	1151	-	157	
279		14.8493	1.31	1062.295	202971.056	0.16	137	0-0-0		0	0	0	1154		0	
280		14.9158	0.816	1565.413	484308.18	0.236	117	0-0-0		0	0	0	1156		0	
281		14.9158	1.029	218.869	185222.023	0.033	-	0-0-0		0	0	0	1157		0	
282		15.0492	1.002	581.698	162162.773	0.088	72	0-0-0		0	0	0	1163		0	
283	Phenol, 3,5-dimethyl-	15.1826	1.89	4016.377	1066057.89	0.607	108	108-68-9	C8H10O	874	874	19.83	1171	1171-S	122	
285		15.0492	1.319	491.879	147647.767	0.074	114	0-0-0		0	0	0	1164		0	
290		15.1826	1.01	1024.319	162427.024	0.155	69	0-0-0		0	0	0	1170		0	
302	Naphthalene	15.516	2.178	855.237	220783.479	0.129	119	91-20-3	C10H8	879	892	34.54	1188	1182-S	128	
303	4-Dodecene	15.5825	1.071	2245.973	926313.409	0.339	63	2030-84-4	C12H24	890	893	6.25	1190	-	168	
312	Dodecane	15.7824	1.019	3510.105	1595353.42	0.53	77	112-40-3	C12H26	881	881	10.2	1200	-	170	
319		15.9827	1.383	1458.419	361785.972	0.22	97	0-0-0		0	0	0	1211		0	
320	Tridecane	16.0492	0.979	1089.426	314605.751	0.165	79	629-50-5	C13H28	864	880	5.37	1215	-	184	
327		16.1826	2.082	482.818	58194.569	0.073	144	0-0-0		0	0	0	1223		0	
330		16.3825	1.016	2544.831	617991.803	0.384	78	0-0-0		0	0	0	1233		0	
332		16.2491	1.314	348.769	187726.886	0.053	87	0-0-0		0	0	0	1226		0	
336	Benzothiazole	16.316	2.597	151.064	46183.772	0.023	135	95-16-9	C7H5NS	788	883	70.73	1231	1228-S	135	
342		16.5159	2.602	326.168	45130.747	0.049	151	0-0-0		0	0	0	1242		0	
353	Undecane	16.7159	0.987	2053.61	744914.539	0.31	101	1120-21-4	C11H24	820	859	3.14	1252	-	156	
356	Nonanoic acid	16.9827	1.369	1027.519	187916.538	0.155	90	112-05-0	C9H18O2	825	850	80.33	1267	1273-S	158	
360	Hexadecane	16.9158	0.997	1866.555	379066.917	0.282	75	544-76-3	C16H34	841	852	3.13	1263	-	226	
366		17.1161	0.969	7494.766	2233986.732	1.132	104	0-0-0		0	0	0	1274		0	
373	Dodecane, 2,6,11-trimethyl-	17.2491	0.949	9726.479	2375858.404	1.469	182	31295-56-4	C15H32	830	833	5.51	1281	1275-S	212	
376	Dodecane, 2,6,11-trimethyl-	17.3825	0.972	7909.116	2171190.045	1.194	111	31295-56-4	C15H32	846	848	6.6	1289	1275-S	212	
380		17.5159	1.544	496.955	154173.205	0.075	121	0-0-0		0	0	0	1297		0	
381	Phenol, p-tert-butyl-	17.5159	1.832	417.76	118166.86	0.063	121	98-54-4	C10H14O	870	885	34.27	1297	1295-S	150	
383		17.6493	2.504	2329.071	797995.227	0.352	139	0-0-0		0	0	0	1305		0	
382	Decane, 2-methyl-	17.5159	0.961	7008.669	2097866.296	1.058	98	6975-98-0	C11H24	840	853	4.73	1296	-	156	
384		17.5159	2.93	259.453	77540.752	0.039	153	0-0-0		0	0	0	1298		0	
387		17.6493	0.951	3973.688	2042595.6	0.6	101	0-0-0		0	0	0	1304		0	
394		17.8492	1.017	5569.834	1741256.222	0.841	82	0-0-0		0	0	0	1315		0	
395		17.8492	1.621	318.101	153734.406	0.048	111	0-0-0		0	0	0	1316		0	
398		17.9826	2.547	1053.627	201229.101	0.159	143	0-0-0		0	0	0	1325		0	
399		17.9158	1.41	621.619	280418.657	0.094	93	0-0-0		0	0	0	1320		0	
400		18.0492	0.985	9182.006	2066481.745	1.387	134	0-0-0		0	0	0	1327		0	
406		18.1826	0.988	6501.393	1906355.019	0.982	96	0-0-0		0	0	0	1335		0	
413		18.316	0.982	5451.54	1662495.895	0.823	82	0-0-0		0	0	0	1342		0	
415		18.3825	1.606	964.715	334767.189	0.146	109	0-0-0		0	0	0	1347		0	
416		18.4494	1.933	869.409	261862.498	0.131	108	0-0-0		0	0	0	1351		0	
418		18.5159	0.986	2159.31	1012106.143	0.326	69	0-0-0		0	0	0	1354		0	
422		18.5824	1.479	420.001	73083.151	0.063	138	0-0-0		0	0	0	1358		0	
429	Tridecane, 3-methyl-	18.7827	1.001	1741.528	420660.951	0.263	70	6418-41-3	C14H30	862	870	13.93	1369	1371-S	198	
432	Propanoic acid, 2-methyl-, 2-ethyl-3-hydroxyhexyl ester	18.9157	1.51	462.035	129862.932	0.07	95	74367-31-0	C12H24O3	759	805	17.65	1377	-	216	
440	Chloroxylenol	19.0491	2.083	275.65	48499.084	0.042	125	88-04-0	C8H9ClO	816	853	59.44	1386	1394-S	156	
447	Tetradecane	19.2491	1.033	2704.18	1455463.31	0.408	67	629-59-4	C14H30	890	894	14.47	1396	1400-A	198	
454		19.4493	1.346	1413.931	511324.429	0.214	71	0-0-0		0	0	0	1409		0	
458		19.4493	0.99	489.979	146097.628	0.074	67	0-0-0		0	0	0	1409		0	
462	Hexadecane	19.5824	0.98	756.84	237885.046	0.114	80	544-76-3	C16H34	842	845	3.44	1417	-	226	
479		20.116	0.99	1652.931	483673.549	0.25	80	0-0-0		0	0	0	1452		0	
491	Hexadecane	20.2494	0.975	1732.429	467950.01	0.262	80	544-76-3	C16H34	862	864	5.06	1461	-	226	
496	9-Octadecene, (E)-	20.4493	1.323	835.701	246336.208	0.126	-	7206-25-9	C18H36	787	819	2.43	1474	-	252	
500	2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-	20.4493	1.555	2649.832	754233.505	0.4	110	719-22-2	C14H20O2	778	802	56.79	1474	1472-S	220	
507		20.7158	1.443	3783.03	1765430.187	0.571	103	0-0-0		0	0	0	1492		0	
523		21.0491	1.357	251.449	123350.89	0.038	92	0-0-0		0	0	0	1513		0	
524	Butylated Hydroxytoluene	21.116	1.452	14538.346	1543415.931	2.196	186	128-37-0	C15H24O	865	881	53.97	1518	1513-S	220	
528		21.1825	1.239	519.257	83614.307	0.078	-	0-0-0		0	0	0	1522		0	
565		22.3824	1.389	383.838	87593.071	0.058	119	0-0-0		0	0	0	1600		0	
580	Benzene, (1-butylheptyl)-	22.916	1.304	367.102	97880.346	0.055	86	4537-15-9	C17H28	832	882	72.86	1638	-	232	
585		22.9825	1.755	114.114	47082.349	0.017	108	0-0-0		0	0	0	1644		0	
588	Benzene, (1-propyloctyl)-	23.0494	1.31	250.966	66917.865	0.038	108	4536-86-1	C17H28	759	844	64.76	1648	-	232	
596	5-Eicosene, (E)-	23.4493	1.335	570.702	108606.435	0.086	116	74685-30-6	C20H40	784	832	4.29	1677	-	280	
616	1H-Indene, 2,3-dihydro-1,1,3-trimethyl-3-phenyl-	24.1824	1.943	1620.387	668362.036	0.245	115	3910-35-8	C18H20	891	896	77.08	1730	1714-S	236	
635	Benzene, 1,1'-(1,1,2,2-tetramethyl-1,2-ethanediyl)bis-	25.1159	2.052	648.903	195723.472	0.098	114	1889-67-4	C18H22	874	885	57.34	1796	-	238	
655	1,2-Benzenedicarboxylic acid, bis(2-methylpropyl) ester	26.1159	2.014	618.04	67458.593	0.093	206	84-69-5	C16H22O4	848	908	6.88	1875	1870-S	278	
